r_number,lat,lng,mid_ma,pygp_pts,plt_id,maxage,pygp_feature,lng_5,lat_5,lng_15,lat_15,lng_25,lat_25,lng_35,lat_35,lng_45,lat_45,lng_55,lat_55,lng_65,lat_65,lng_75,lat_75,lng_85,lat_85,lng_95,lat_95,lng_105,lat_105,lng_115,lat_115,lng_125,lat_125,lng_135,lat_135,lng_145,lat_145,lng_155,lat_155,lng_165,lat_165,lng_175,lat_175,lng_185,lat_185,lng_195,lat_195
2655,-21.15,-175.2,3.95,"(-0.929368, -0.0780412, -0.360811)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC57B0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,-19.0333,-169.9167,11.3,"(-0.930728, -0.165508, -0.326118)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5740>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970,21.5667,-158.2667,0.05,"(-0.863884, -0.344363, 0.367584)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5660>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3986,-19.9833,-158.1167,0.45,"(-0.872075, -0.350277, -0.341746)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC56D0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,21.6167,-158.0667,0.05,"(-0.862379, -0.347257, 0.368396)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5820>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3255,21.3333,-157.9667,0.05,"(-0.86345, -0.34944, 0.363793)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC55F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971,21.45,-157.7167,0.05,"(-0.86123, -0.352923, 0.365689)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5580>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985,-19.8167,-157.7167,0.05,"(-0.870525, -0.356732, -0.339012)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5890>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3987,-20.15,-157.3333,0.4,"(-0.866284, -0.361783, -0.344479)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5900>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,-16.5,-151.7167,3.95,"(-0.844352, -0.454319, -0.284015)",,inf,<pygplates.pygplates.Feature object at 0x0000016CD5DC5970>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
